names,topic,count
Hillary,religion,0.001140783
Hillary,china,0.000697798
Hillary,economy,0.001164304
Hillary,healthcare,0.005692153
Hillary,gun control,0.007863953
Hillary,race,0.03033855
Hillary,climate change,0.003508593
Hillary,immigration,0.018123157
Hillary,military,0.003300822
Hillary,trade,0.017852663
Bernie,religion,0.000516071
Bernie,china,0.000469155
Bernie,economy,0.0018425
Bernie,healthcare,0.006499932
Bernie,gun control,0.004414324
Bernie,race,0.031109253
Bernie,climate change,0.003232906
Bernie,immigration,0.017136959
Bernie,military,0.001723079
Bernie,trade,0.018378088
